CMDLINE /Users/shamik/anaconda3/envs/uEnv/bin/python3.10 jax_cone.py
MEM 29664.234375 1685664056.8317
MEM 29664.234375 1685664056.9363
MEM 29664.234375 1685664057.0409
MEM 29664.234375 1685664057.1461
MEM 29664.234375 1685664057.2513
MEM 29664.234375 1685664057.3565
MEM 29664.234375 1685664057.4618
MEM 29664.234375 1685664057.5670
MEM 29664.234375 1685664057.6691
MEM 29664.234375 1685664057.7729
MEM 29664.234375 1685664057.8781
MEM 29664.234375 1685664057.9833
MEM 29664.234375 1685664058.0859
MEM 29664.234375 1685664058.1911
MEM 29664.234375 1685664058.2963
MEM 29664.234375 1685664058.4016
MEM 29664.234375 1685664058.5069
MEM 29664.234375 1685664058.6121
MEM 29664.234375 1685664058.7173
MEM 29664.234375 1685664058.8193
MEM 29664.234375 1685664058.9245
MEM 29664.234375 1685664059.0274
MEM 29664.234375 1685664059.1327
MEM 29664.234375 1685664059.2361
MEM 29664.234375 1685664059.3413
MEM 29664.234375 1685664059.4441
MEM 29664.234375 1685664059.5493
MEM 29664.234375 1685664059.6524
MEM 29664.234375 1685664059.7600
MEM 29664.234375 1685664059.8663
MEM 29664.234375 1685664059.9695
MEM 29664.234375 1685664060.0785
MEM 29664.234375 1685664060.1820
MEM 29664.234375 1685664060.2873
MEM 29664.234375 1685664060.3975
MEM 29664.234375 1685664060.4979
MEM 29664.234375 1685664060.6031
MEM 29664.234375 1685664060.7117
MEM 29664.234375 1685664060.8150
MEM 29664.234375 1685664060.9203
MEM 29664.234375 1685664061.0257
MEM 21024.218750 1685664061.1338
MEM 21024.218750 1685664061.2389
MEM 22395.203125 1685664061.3410
MEM 24234.500000 1685664061.4445
MEM 23837.000000 1685664061.5497
MEM 25907.046875 1685664061.6527
MEM 25626.625000 1685664061.7580
MEM 27736.406250 1685664061.8632
MEM 22754.453125 1685664061.9646
MEM 22755.968750 1685664062.0697
MEM 23982.312500 1685664062.1749
MEM 25272.546875 1685664062.2756
MEM 26091.046875 1685664062.3777
MEM 27763.421875 1685664062.4829
MEM 29590.625000 1685664062.5859
MEM 31535.843750 1685664062.6911
MEM 33201.546875 1685664062.7945
MEM 33617.640625 1685664062.8978
MEM 34040.234375 1685664063.0030
MEM 34458.968750 1685664063.1082
MEM 34866.328125 1685664063.2106
MEM 35268.718750 1685664063.3116
MEM 35686.703125 1685664063.4168
MEM 36086.078125 1685664063.5170
MEM 36504.375000 1685664063.6222
MEM 37500.781250 1685664063.7274
MEM 38580.062500 1685664063.8277
MEM 39735.968750 1685664063.9329
MEM 41505.000000 1685664064.0381
MEM 43512.625000 1685664064.1434
MEM 43955.578125 1685664064.2445
MEM 44413.218750 1685664064.3497
MEM 44874.437500 1685664064.4549
MEM 45336.640625 1685664064.5601
MEM 45798.265625 1685664064.6652
MEM 46258.562500 1685664064.7705
MEM 46697.453125 1685664064.8711
MEM 47195.328125 1685664064.9764
MEM 47774.171875 1685664065.0842
MEM 48327.687500 1685664065.1895
MEM 48874.875000 1685664065.2955
MEM 49379.843750 1685664065.3972
MEM 49762.000000 1685664065.5030
MEM 50142.078125 1685664065.6044
MEM 49908.546875 1685664065.7095
MEM 49498.953125 1685664065.8150
MEM 49003.515625 1685664065.9198
MEM 48647.562500 1685664066.0251
MEM 48302.156250 1685664066.1304
MEM 48152.062500 1685664066.2351
MEM 23944.609375 1685664066.3403
MEM 23944.609375 1685664066.4455
MEM 23944.609375 1685664066.5499
MEM 23944.609375 1685664066.6523
MEM 17032.640625 1685664066.7575
MEM 13576.921875 1685664066.8628
MEM 14078.281250 1685664066.9680
MEM 15690.234375 1685664067.0732
MEM 17237.156250 1685664067.1747
MEM 19007.968750 1685664067.2799
MEM 20591.406250 1685664067.3851
MEM 22301.953125 1685664067.4903
MEM 17301.953125 1685664067.5955
MEM 14779.828125 1685664067.7007
MEM 16263.515625 1685664067.8029
MEM 17610.531250 1685664067.9081
MEM 18725.421875 1685664068.0133
MEM 19783.765625 1685664068.1187
MEM 20806.421875 1685664068.2240
MEM 21515.765625 1685664068.3291
MEM 22259.312500 1685664068.4344
MEM 22986.734375 1685664068.5389
MEM 23725.281250 1685664068.6441
MEM 20757.953125 1685664068.7493
MEM 22449.937500 1685664068.8545
MEM 24391.875000 1685664068.9597
MEM 27134.718750 1685664069.0650
MEM 29563.687500 1685664069.1701
MEM 31347.343750 1685664069.2753
MEM 32878.421875 1685664069.3779
MEM 32878.421875 1685664069.4831
MEM 32878.531250 1685664069.5886
MEM 32878.531250 1685664069.6910
MEM 32878.531250 1685664069.7943
MEM 32878.531250 1685664069.8995
MEM 32878.531250 1685664070.0028
MEM 32878.531250 1685664070.1082
MEM 32878.531250 1685664070.2135
MEM 32878.531250 1685664070.3187
MEM 32878.531250 1685664070.4240
MEM 32878.531250 1685664070.5293
MEM 32878.531250 1685664070.6334
MEM 32878.531250 1685664070.7361
MEM 32878.531250 1685664070.8413
MEM 32878.531250 1685664070.9466
MEM 32878.531250 1685664071.0518
MEM 32878.531250 1685664071.1570
MEM 32878.531250 1685664071.2607
MEM 32878.531250 1685664071.3661
MEM 32878.531250 1685664071.4692
MEM 32878.531250 1685664071.5746
MEM 32878.531250 1685664071.6785
MEM 32878.531250 1685664071.7837
MEM 32878.531250 1685664071.8862
MEM 32878.531250 1685664071.9875
MEM 32878.531250 1685664072.0927
MEM 32878.531250 1685664072.1947
MEM 32878.531250 1685664072.2949
MEM 32878.531250 1685664072.3963
MEM 32878.531250 1685664072.5016
MEM 32878.531250 1685664072.6068
MEM 32878.531250 1685664072.7109
MEM 32878.531250 1685664072.8162
MEM 32878.531250 1685664072.9192
MEM 32878.531250 1685664073.0244
MEM 32878.531250 1685664073.1271
MEM 32878.531250 1685664073.2324
MEM 32878.531250 1685664073.3376
MEM 32878.531250 1685664073.4428
MEM 32878.531250 1685664073.5446
MEM 32878.531250 1685664073.6501
MEM 32878.531250 1685664073.7513
MEM 32878.531250 1685664073.8566
MEM 32878.531250 1685664073.9578
MEM 32878.531250 1685664074.0607
MEM 32878.531250 1685664074.1659
MEM 32878.531250 1685664074.2695
MEM 32878.531250 1685664074.3747
MEM 32878.531250 1685664074.4774
MEM 32878.531250 1685664074.5826
MEM 32878.531250 1685664074.6863
MEM 32878.531250 1685664074.7915
MEM 32878.531250 1685664074.8945
MEM 32878.531250 1685664074.9997
MEM 32878.531250 1685664075.1023
MEM 32878.531250 1685664075.2075
MEM 32878.531250 1685664075.3126
MEM 32878.531250 1685664075.4179
MEM 32878.531250 1685664075.5185
MEM 32878.531250 1685664075.6239
MEM 32878.531250 1685664075.7248
MEM 32878.531250 1685664075.8301
MEM 32878.531250 1685664075.9353
MEM 32878.531250 1685664076.0361
MEM 32878.531250 1685664076.1413
MEM 32878.531250 1685664076.2436
MEM 32878.531250 1685664076.3489
MEM 32878.531250 1685664076.4529
MEM 32878.531250 1685664076.5581
MEM 32878.531250 1685664076.6633
MEM 32878.531250 1685664076.7669
MEM 32878.531250 1685664076.8721
MEM 32878.531250 1685664076.9743
MEM 32878.531250 1685664077.0773
MEM 32878.531250 1685664077.1825
MEM 32878.531250 1685664077.2877
MEM 32878.531250 1685664077.3930
MEM 22510.515625 1685664077.4981
MEM 22510.640625 1685664077.6033
MEM 23978.109375 1685664077.7085
MEM 23496.953125 1685664077.8105
MEM 24789.640625 1685664077.9157
MEM 26857.312500 1685664078.0194
MEM 26102.750000 1685664078.1245
MEM 26805.203125 1685664078.2297
MEM 27554.656250 1685664078.3347
MEM 26141.968750 1685664078.4398
MEM 26141.968750 1685664078.5450
MEM 26141.968750 1685664078.6501
MEM 26141.968750 1685664078.7552
MEM 26141.968750 1685664078.8587
MEM 26141.968750 1685664078.9604
MEM 26141.968750 1685664079.0655
MEM 26141.968750 1685664079.1706
MEM 26141.968750 1685664079.2757
MEM 26141.968750 1685664079.3808
MEM 19230.015625 1685664079.4860
MEM 10590.015625 1685664079.5911
MEM 7138.140625 1685664079.6963
MEM 7139.640625 1685664079.8015
